Order_ID,Order_Date,Year,Quarter,Month,Customer_ID,Gender,Age_Group,Customer_Segment,Brand,Category,Sub_Category,Unit_Price,Listing_Type,Quantity,Revenue,Discount,Profit,Stock_Received,Stock_Available,City,State,Region,Delivery_Days,Returned,Rating,Feedback_Sentiment
O00028,2013-12-08,2013,Q4,Dec,C0029,Male,26-35,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,3,1797,147,478,5877,5303,Mumbai,Maharashtra,West,6,Yes,4,Positive
O00029,2017-02-22,2017,Q1,Feb,C0030,Male,26-35,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,99,1582,7916,7213,Kolkata,West Bengal,East,7,No,4,Positive
O00030,2020-06-04,2020,Q2,Jun,C0031,Male,45+,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,4,2396,84,1047,3224,2832,Bangalore,Karnataka,South,3,Yes,5,Positive
O00031,2013-06-14,2013,Q2,Jun,C0032,Male,45+,New,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,35,1450,6877,6300,Pune,Maharashtra,West,7,No,1,Negative
O00032,2020-03-03,2020,Q1,Mar,C0033,Male,26-35,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,3,2397,167,629,5741,4990,Pune,Maharashtra,West,7,No,2,Negative
O00033,2016-01-29,2016,Q1,Jan,C0034,Female,36-45,Inactive,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,2,1598,150,574,7670,7103,Kolkata,West Bengal,East,2,Yes,4,Positive
O00034,2017-01-19,2017,Q1,Jan,C0035,Male,36-45,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,94,220,1500,937,Chennai,Tamil Nadu,South,7,Yes,5,Positive
O00035,2021-08-01,2021,Q3,Aug,C0036,Male,36-45,New,Mamaearth,Skincare,Serum,899,Mid Price Listing,2,1798,137,615,1656,1148,Hyderabad,Telangana,South,3,Yes,3,Neutral
O00036,2013-05-24,2013,Q2,May,C0037,Female,36-45,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,3,1797,51,783,7029,6601,Hyderabad,Telangana,South,5,No,5,Positive
O00037,2014-10-13,2014,Q4,Oct,C0038,Female,45+,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,70,326,3718,3088,Kolkata,West Bengal,East,1,Yes,2,Negative
O00038,2016-01-19,2016,Q1,Jan,C0039,Male,18-25,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,181,214,4148,3835,Kolkata,West Bengal,East,4,Yes,2,Negative
O00039,2021-10-05,2021,Q4,Oct,C0040,Female,36-45,Premium,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,2,1598,55,613,4522,4052,Kolkata,West Bengal,East,7,Yes,4,Positive
O00040,2021-09-06,2021,Q3,Sep,C0041,Male,26-35,Regular,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,207,997,1799,1321,Kolkata,West Bengal,East,7,Yes,1,Negative
O00041,2025-01-17,2025,Q1,Jan,C0042,Male,36-45,Inactive,Lakme,Makeup,Foundation,599,Mid Price Listing,3,1797,157,701,1697,979,Bangalore,Karnataka,South,7,Yes,2,Negative
O00042,2025-05-09,2025,Q2,May,C0043,Female,26-35,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,3,2997,116,1119,5921,5270,Hyderabad,Telangana,South,7,No,4,Positive
O00043,2025-07-15,2025,Q3,Jul,C0044,Male,26-35,Regular,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,63,721,3802,3320,Kolkata,West Bengal,East,7,Yes,3,Neutral
O00044,2016-05-20,2016,Q2,May,C0045,Male,18-25,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,99,451,7941,7720,Chennai,Tamil Nadu,South,5,Yes,4,Positive
O00045,2016-12-03,2016,Q4,Dec,C0046,Female,45+,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,4,3196,155,1054,5078,4863,Hyderabad,Telangana,South,7,No,1,Negative
O00046,2022-06-16,2022,Q2,Jun,C0047,Male,26-35,Regular,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,61,307,5549,4950,Pune,Maharashtra,West,6,No,4,Positive
O00047,2023-09-16,2023,Q3,Sep,C0048,Female,36-45,Premium,L'Oreal,Skincare,Shampoo,999,Premium Listing,3,2997,176,1071,1076,326,Hyderabad,Telangana,South,3,No,4,Positive
O00048,2014-10-12,2014,Q4,Oct,C0049,Female,36-45,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,3,1797,170,775,2879,2335,Bangalore,Karnataka,South,3,Yes,4,Positive
O00049,2012-12-16,2012,Q4,Dec,C0050,Male,18-25,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,134,375,7695,7292,Hyderabad,Telangana,South,3,No,1,Negative
O00050,2016-08-30,2016,Q3,Aug,C0051,Male,18-25,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,3,2397,108,759,7286,6531,Chennai,Tamil Nadu,South,6,No,1,Negative
O00051,2014-08-21,2014,Q3,Aug,C0052,Male,36-45,New,Lakme,Makeup,Foundation,599,Mid Price Listing,4,2396,81,1044,1171,464,Pune,Maharashtra,West,3,No,5,Positive
O00052,2014-08-16,2014,Q3,Aug,C0053,Female,36-45,New,Mamaearth,Skincare,Serum,899,Mid Price Listing,1,899,41,243,6693,6072,Hyderabad,Telangana,South,4,No,3,Neutral
O00053,2013-01-16,2013,Q1,Jan,C0054,Female,18-25,Regular,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,161,873,3674,3509,Mumbai,Maharashtra,West,3,No,4,Positive
O00054,2019-06-06,2019,Q2,Jun,C0055,Female,18-25,New,Nivea,Skincare,Moisturizer,499,Low Price Listing,2,998,213,283,7446,6572,Mumbai,Maharashtra,West,4,Yes,4,Positive
O00055,2018-05-24,2018,Q2,May,C0056,Male,18-25,Regular,Lakme,Makeup,Foundation,599,Mid Price Listing,4,2396,8,890,4791,4243,Bangalore,Karnataka,South,1,Yes,2,Negative
O00056,2017-12-19,2017,Q4,Dec,C0057,Male,18-25,New,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,126,165,6760,6413,Delhi,Delhi,North,3,No,5,Positive
O00057,2012-05-13,2012,Q2,May,C0058,Male,18-25,Inactive,Nivea,Skincare,Moisturizer,499,Low Price Listing,4,1996,126,868,2850,2429,Chennai,Tamil Nadu,South,3,No,4,Positive
O00058,2013-06-30,2013,Q2,Jun,C0059,Male,45+,New,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,115,359,4918,4115,Bangalore,Karnataka,South,1,No,1,Negative
O00059,2015-01-21,2015,Q1,Jan,C0060,Male,26-35,Regular,Mamaearth,Skincare,Serum,899,Mid Price Listing,4,3596,114,976,1019,734,Kolkata,West Bengal,East,4,No,4,Positive
O00060,2021-05-13,2021,Q2,May,C0061,Male,18-25,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,1,899,64,377,5653,4915,Mumbai,Maharashtra,West,5,Yes,1,Negative
O00061,2013-11-19,2013,Q4,Nov,C0062,Male,36-45,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,4,3596,198,1595,4682,3857,Delhi,Delhi,North,1,No,4,Positive
O00062,2015-09-05,2015,Q3,Sep,C0063,Male,36-45,New,Nivea,Skincare,Moisturizer,499,Low Price Listing,4,1996,249,510,3028,2266,Kolkata,West Bengal,East,7,Yes,5,Positive
O00063,2025-04-04,2025,Q2,Apr,C0064,Female,45+,Regular,Nivea,Skincare,Moisturizer,499,Low Price Listing,1,499,121,196,6151,6004,Pune,Maharashtra,West,6,No,1,Negative
O00064,2016-01-20,2016,Q1,Jan,C0065,Female,45+,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,235,260,3276,2495,Mumbai,Maharashtra,West,4,Yes,1,Negative
O00065,2014-11-13,2014,Q4,Nov,C0066,Female,36-45,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,2,1798,52,557,5503,5400,Pune,Maharashtra,West,6,Yes,1,Negative
O00066,2025-09-15,2025,Q3,Sep,C0067,Male,18-25,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,4,3596,216,978,3310,2634,Mumbai,Maharashtra,West,4,Yes,1,Negative
O00067,2017-04-29,2017,Q2,Apr,C0068,Female,26-35,New,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,4,3196,35,1330,1147,413,Pune,Maharashtra,West,5,Yes,5,Positive
O00068,2012-05-26,2012,Q2,May,C0069,Female,18-25,New,Nivea,Skincare,Moisturizer,499,Low Price Listing,1,499,240,140,6095,5622,Delhi,Delhi,North,2,No,3,Neutral
O00069,2023-05-09,2023,Q2,May,C0070,Male,45+,Regular,Kay Beauty,Makeup,Blush,899,Mid Price Listing,3,2697,30,744,6914,6776,Mumbai,Maharashtra,West,6,Yes,3,Neutral
O00070,2017-04-28,2017,Q2,Apr,C0071,Female,18-25,Regular,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,140,369,6194,6005,Bangalore,Karnataka,South,5,Yes,1,Negative
O00071,2019-11-06,2019,Q4,Nov,C0072,Male,36-45,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,65,1118,3754,2966,Hyderabad,Telangana,South,5,No,4,Positive
O00072,2023-12-06,2023,Q4,Dec,C0073,Male,18-25,New,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,220,642,5952,5576,Hyderabad,Telangana,South,2,No,2,Negative
O00073,2023-10-13,2023,Q4,Oct,C0074,Male,36-45,Regular,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,223,589,4605,4036,Delhi,Delhi,North,6,Yes,1,Negative
O00074,2020-04-25,2020,Q2,Apr,C0075,Male,45+,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,4,3196,112,1052,3226,2548,Pune,Maharashtra,West,6,No,2,Negative
O00075,2013-03-31,2013,Q1,Mar,C0076,Male,26-35,Inactive,Kay Beauty,Makeup,Blush,899,Mid Price Listing,1,899,145,351,3449,2968,Bangalore,Karnataka,South,3,No,4,Positive
O00076,2023-08-27,2023,Q3,Aug,C0077,Male,18-25,Inactive,Nivea,Skincare,Moisturizer,499,Low Price Listing,3,1497,201,409,4124,3748,Kolkata,West Bengal,East,4,Yes,4,Positive
O00077,2024-11-12,2024,Q4,Nov,C0078,Female,18-25,Inactive,Lakme,Makeup,Foundation,599,Mid Price Listing,3,1797,106,630,5814,4954,Pune,Maharashtra,West,4,No,1,Negative
O00078,2017-06-05,2017,Q2,Jun,C0079,Female,26-35,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,77,856,1006,557,Bangalore,Karnataka,South,4,No,1,Negative
O00079,2022-01-21,2022,Q1,Jan,C0080,Female,36-45,Premium,Nivea,Skincare,Moisturizer,499,Low Price Listing,2,998,39,422,5433,4866,Mumbai,Maharashtra,West,6,Yes,4,Positive
O00080,2025-04-04,2025,Q2,Apr,C0081,Male,18-25,Premium,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,34,1660,2102,1897,Pune,Maharashtra,West,5,No,5,Positive
O00081,2016-12-16,2016,Q4,Dec,C0082,Female,45+,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,1,899,241,310,7711,6944,Kolkata,West Bengal,East,1,No,3,Neutral
O00082,2014-08-19,2014,Q3,Aug,C0083,Male,36-45,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,1,899,3,320,4107,3371,Bangalore,Karnataka,South,7,No,3,Neutral
O00083,2016-03-05,2016,Q1,Mar,C0084,Female,26-35,Inactive,Kay Beauty,Makeup,Blush,899,Mid Price Listing,3,2697,190,765,6311,5815,Bangalore,Karnataka,South,6,No,5,Positive
O00084,2021-05-15,2021,Q2,May,C0085,Male,45+,Inactive,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,73,439,7487,7177,Kolkata,West Bengal,East,6,No,1,Negative
O00085,2022-11-02,2022,Q4,Nov,C0086,Male,26-35,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,2,1798,167,497,3266,2868,Pune,Maharashtra,West,4,No,1,Negative
O00086,2022-11-04,2022,Q4,Nov,C0087,Female,45+,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,170,943,3218,2411,Kolkata,West Bengal,East,6,No,2,Negative
O00087,2025-09-28,2025,Q3,Sep,C0088,Female,18-25,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,247,455,2823,1928,Kolkata,West Bengal,East,1,No,4,Positive
O00088,2018-10-31,2018,Q4,Oct,C0089,Female,26-35,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,166,298,3168,2640,Mumbai,Maharashtra,West,6,Yes,5,Positive
O00089,2013-01-15,2013,Q1,Jan,C0090,Female,45+,New,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,1,616,2120,1497,Hyderabad,Telangana,South,4,Yes,2,Negative
O00090,2013-11-08,2013,Q4,Nov,C0091,Male,36-45,Premium,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,108,216,3892,3735,Mumbai,Maharashtra,West,4,No,3,Neutral
O00091,2013-04-24,2013,Q2,Apr,C0092,Female,18-25,Inactive,Mamaearth,Skincare,Serum,899,Mid Price Listing,4,3596,58,1214,1364,793,Mumbai,Maharashtra,West,6,No,2,Negative
O00092,2023-12-26,2023,Q4,Dec,C0093,Male,36-45,Inactive,Kay Beauty,Makeup,Blush,899,Mid Price Listing,1,899,78,346,4206,3560,Hyderabad,Telangana,South,5,No,4,Positive
O00093,2019-09-17,2019,Q3,Sep,C0094,Female,18-25,New,Kay Beauty,Makeup,Blush,899,Mid Price Listing,4,3596,103,948,4794,4349,Hyderabad,Telangana,South,2,Yes,1,Negative
O00094,2021-01-30,2021,Q1,Jan,C0095,Female,36-45,Inactive,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,138,288,4573,4450,Delhi,Delhi,North,2,Yes,3,Neutral
O00095,2019-01-01,2019,Q1,Jan,C0096,Female,45+,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,232,326,7210,6551,Kolkata,West Bengal,East,5,No,2,Negative
O00096,2020-07-04,2020,Q3,Jul,C0097,Female,18-25,Regular,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,179,620,5391,4816,Hyderabad,Telangana,South,1,Yes,3,Neutral
O00097,2020-07-15,2020,Q3,Jul,C0098,Male,45+,New,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,174,715,5083,4346,Mumbai,Maharashtra,West,4,Yes,5,Positive
O00098,2016-06-23,2016,Q2,Jun,C0099,Female,26-35,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,3,2997,107,1258,7145,6807,Kolkata,West Bengal,East,3,No,1,Negative
O00099,2022-04-08,2022,Q2,Apr,C0100,Female,18-25,New,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,166,537,4160,3954,Kolkata,West Bengal,East,1,No,4,Positive
O00100,2020-12-13,2020,Q4,Dec,C0101,Female,26-35,New,Kay Beauty,Makeup,Blush,899,Mid Price Listing,4,3596,189,1037,3677,3445,Delhi,Delhi,North,2,No,5,Positive
O00101,2016-10-01,2016,Q4,Oct,C0102,Female,26-35,New,Mamaearth,Skincare,Serum,899,Mid Price Listing,4,3596,244,1469,1857,1431,Pune,Maharashtra,West,3,Yes,3,Neutral
O00102,2022-05-21,2022,Q2,May,C0103,Male,36-45,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,36,542,5526,5412,Bangalore,Karnataka,South,3,Yes,1,Negative
O00103,2016-07-12,2016,Q3,Jul,C0104,Male,26-35,Inactive,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,208,801,5407,4565,Kolkata,West Bengal,East,4,Yes,2,Negative
O00104,2018-07-17,2018,Q3,Jul,C0105,Male,26-35,Inactive,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,248,267,7015,6738,Bangalore,Karnataka,South,3,Yes,2,Negative
O00105,2017-08-08,2017,Q3,Aug,C0106,Female,45+,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,184,384,7406,7013,Bangalore,Karnataka,South,7,Yes,1,Negative
O00106,2020-01-05,2020,Q1,Jan,C0107,Female,18-25,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,1,899,113,336,5061,4525,Bangalore,Karnataka,South,2,No,2,Negative
O00107,2015-08-16,2015,Q3,Aug,C0108,Male,18-25,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,3,2397,95,1030,6042,5538,Delhi,Delhi,North,1,Yes,2,Negative
O00108,2020-01-14,2020,Q1,Jan,C0109,Female,18-25,New,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,83,461,2779,2605,Kolkata,West Bengal,East,1,No,3,Neutral
O00109,2012-06-23,2012,Q2,Jun,C0110,Male,26-35,Premium,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,229,1125,6837,6455,Delhi,Delhi,North,7,Yes,2,Negative
O00110,2025-04-18,2025,Q2,Apr,C0111,Female,26-35,Premium,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,170,714,5358,5000,Chennai,Tamil Nadu,South,3,Yes,1,Negative
O00111,2014-10-10,2014,Q4,Oct,C0112,Female,45+,Regular,Nivea,Skincare,Moisturizer,499,Low Price Listing,3,1497,214,644,4276,3737,Pune,Maharashtra,West,4,Yes,4,Positive
O00112,2017-08-09,2017,Q3,Aug,C0113,Male,36-45,Premium,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,176,1200,3239,2685,Chennai,Tamil Nadu,South,5,Yes,5,Positive
O00113,2020-09-26,2020,Q3,Sep,C0114,Female,18-25,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,2,1798,205,545,7773,7119,Bangalore,Karnataka,South,3,Yes,5,Positive
O00114,2014-12-11,2014,Q4,Dec,C0115,Female,26-35,New,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,2,1598,91,400,4698,4285,Mumbai,Maharashtra,West,2,No,1,Negative
O00115,2012-02-28,2012,Q1,Feb,C0116,Male,36-45,Premium,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,14,311,1325,506,Pune,Maharashtra,West,6,Yes,2,Negative
O00116,2023-05-15,2023,Q2,May,C0117,Female,45+,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,3,2697,61,1024,3841,2967,Hyderabad,Telangana,South,5,Yes,1,Negative
O00117,2023-10-25,2023,Q4,Oct,C0118,Male,26-35,Premium,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,138,799,6504,5615,Delhi,Delhi,North,1,No,4,Positive
O00118,2015-06-30,2015,Q2,Jun,C0119,Male,26-35,Premium,L'Oreal,Skincare,Shampoo,999,Premium Listing,1,999,4,331,3523,2976,Delhi,Delhi,North,5,Yes,1,Negative
O00119,2023-05-30,2023,Q2,May,C0120,Male,18-25,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,2,1998,250,804,3548,2673,Mumbai,Maharashtra,West,5,No,4,Positive
O00120,2016-02-18,2016,Q1,Feb,C0121,Male,45+,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,1,899,114,302,3892,3443,Bangalore,Karnataka,South,3,Yes,1,Negative
O00121,2019-07-22,2019,Q3,Jul,C0122,Female,26-35,Inactive,L'Oreal,Skincare,Shampoo,999,Premium Listing,4,3996,73,1720,5346,5135,Chennai,Tamil Nadu,South,7,No,2,Negative
O00122,2024-07-16,2024,Q3,Jul,C0123,Male,18-25,Inactive,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,61,240,3259,2600,Bangalore,Karnataka,South,4,Yes,2,Negative
O00123,2015-12-15,2015,Q4,Dec,C0124,Female,36-45,Inactive,Kay Beauty,Makeup,Blush,899,Mid Price Listing,1,899,244,348,2613,2124,Bangalore,Karnataka,South,4,Yes,1,Negative
O00124,2020-08-25,2020,Q3,Aug,C0125,Male,18-25,Premium,Kay Beauty,Makeup,Blush,899,Mid Price Listing,4,3596,249,1058,2438,1920,Chennai,Tamil Nadu,South,4,No,5,Positive
O00125,2018-07-02,2018,Q3,Jul,C0126,Male,26-35,Premium,Nivea,Skincare,Moisturizer,499,Low Price Listing,3,1497,91,631,4755,4328,Kolkata,West Bengal,East,7,No,2,Negative
O00126,2021-02-24,2021,Q1,Feb,C0127,Female,26-35,New,Lakme,Makeup,Foundation,599,Mid Price Listing,2,1198,7,384,4291,3984,Bangalore,Karnataka,South,3,Yes,1,Negative
O00127,2020-09-01,2020,Q3,Sep,C0128,Female,18-25,Inactive,Lakme,Makeup,Foundation,599,Mid Price Listing,1,599,38,187,1671,930,Kolkata,West Bengal,East,2,No,1,Negative
O00128,2023-10-26,2023,Q4,Oct,C0129,Female,45+,Regular,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,1,799,147,338,4466,3822,Mumbai,Maharashtra,West,2,Yes,1,Negative
O00129,2017-05-28,2017,Q2,May,C0130,Male,36-45,Inactive,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,2,1598,138,659,3494,3367,Bangalore,Karnataka,South,1,Yes,5,Positive
O00130,2014-10-15,2014,Q4,Oct,C0131,Male,36-45,New,Nykaa Cosmetics,Makeup,Lipstick,799,Mid Price Listing,3,2397,204,679,5125,4301,Chennai,Tamil Nadu,South,3,Yes,2,Negative
O00131,2025-07-07,2025,Q3,Jul,C0132,Male,26-35,New,Mamaearth,Skincare,Serum,899,Mid Price Listing,3,2697,15,1085,6640,5873,Delhi,Delhi,North,2,No,3,Neutral
